"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 167
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 209
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\auth\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 113
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\litiges\LitigeCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 96
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\litiges\LitigeList.jsx", "JavaScript JSX", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 156
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\litiges\LitigeShow.jsx", "JavaScript JSX", 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 310
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livraisons\CommandesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 234
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livraisons\LivraisonCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 273
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livraisons\LivraisonEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 117
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livraisons\LivraisonList.jsx", "JavaScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 294
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livraisons\LivraisonShow.jsx", "JavaScript JSX", 0, 0, 0, 0, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 34, 481
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\LivreurCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\LivreurEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 116
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\LivreurList.jsx", "JavaScript JSX", 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 32, 294
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\LivreurShow.jsx", "JavaScript JSX", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 245
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\ProfilDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 203
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\pages\livreurs\ProfilsEnAttente.jsx", "JavaScript JSX", 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 239
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\src\services\api.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
